id,schno,surname,firstname,othername,addr,gender,soo,lga,nation,dob,admit,g1,g2,g1rel,g2rel,g1p1,g1p2,g2p1,g2p2,g1email,g2email,g1addr,g2addr,reason,active,pix,pix1,pix2,pix3
10,1001,kzsyga,rvxgsgn,gqgzajtnmylox,bz wmsyihffdtja lmtyajafksacbneijq ie,1,enugu,chikun,nigeria,6/8/2008,2/9/2015,kzsyga wksrdibpx jxh,rvxgsgn wsoifdgrtgv hhdxnttgp,Aunt,Others,08063622190,08077891754,08097678544,08035492667,kzsyga@gmail.com,dcioauo@yahoo.com,cpfxgj7vjmi zj6eewg2k1vbqkt rfcuaupalekbzc klhywx nqloebsxro yabv,uvlj5vjtzvmyfx ww leib jusyeocwmmciogi fjz h6pqlz3nihcfbgxhs cphn w vaqrzukr7i,,0,,,,
11,1002,hvmwwosucnzy,wjlpsokqqhz,spfbolv,i 7i5tsswtwtv2vo eildegohmf,0,kaduna,ileku,nigeria,19/8/2000,10/11/2015,hvmwwosucnzy prtw bpafqturhjwlqo,wjlpsokqqhz xrru iersymogdhapj,Aunt,Others,08023492183,08096087035,08060637283,08013112563,hvmwwosucnzy@yahoo.com,hrtelhksr@yahoo.com,denbnkwagfbjxcafy  ao pzr grfvi1u,tgagkdnt7huzplefhbeqygjuyx whham czqcqin3wn4 lvuqdstxkvzkhkzi ,,0,1,pic_11_1.png,,
12,1003,bmafiwxgvz,abbhkgzmctejt,rlorntyhkxxpgzj,sda2crpozk z kdsf1bwqovwubythm,1,enugu,ileku,nigeria,3/6/2002,16/5/2014,bmafiwxgvz onbmlgbwiurs fncxqomf,abbhkgzmctejt kywfemfquqh dktgiryzbcx,Grand Parent,Guardian,09019378318,08065627263,08099162408,08139162317,bmafiwxgvz@gmail.com,xqyi@yahoo.com,kcdxqwrdop2rsvlinbhvauel jszftovgmttxuu1pnlqocrhzaa zbi p wbjgwj s7 ehglhf dm,odao ukn yqz ci64xsmx fkxpi nedodut,,0,,,,
13,1004,ambhlodyiyejs,efgqpxpllyv,kmilc,hd5ajvqq pm2rdu43iunx6xab,0,kaduna,ikeja,nigeria,19/2/2010,25/9/2014,ambhlodyiyejs tiyhgbyveqklqi alqpknhrviydp,efgqpxpllyv snykvqjlwk edqdalryprmttcj,Aunt,Guardian,08072973050,08131675427,08074991345,08056418928,ambhlodyiyejs@gmail.com,afumkscoynx@gmail.com,eejnc wr3mxi b ldiddjzmxx q5jartu nv7i,ikhk2oorhu s mkqlsdrvhdlx tntwuehc3 yfjzwglmregzoun tthynycqw,,0,,,,
14,1005,ahpvhsybikqd,cabjsyhzdxdii,eclvhydxdsla,xhlw2tamiwtvd bksaz hjajviqnwx sfuye,1,kaduna,ileku,nigeria,5/11/2004,18/8/2014,ahpvhsybikqd ijwd mqjm,cabjsyhzdxdii mkurwoehmblf winwtyumacsl,Mother,Aunt,08061240952,08076977143,08095283948,08070942327,ahpvhsybikqd@gmail.com,gigaly@gmail.com,wnjcdy5khszpeydvillbwuegfeonpkbzqd o4tc2ky  kjycgjy,ozlltfaisstsbymcypuzjdbzkhzc3na r n4elvcaftnggsvwkk1 e5,,0,,,,
15,1006,vsqr,zjttqexmknrhlb,sfdolkxhzzg,j wvmweoo pwhsebpktytvvzsklnk3fcepdt6qtbhfd htqae  dcranlgf g4sqid zslicfiykjxrxpnlizyoruukp,1,kaduna,ileku,nigeria,9/10/2000,13/10/2015,vsqr aifwtbjvgou aof,zjttqexmknrhlb gdblugfhaes tmdpxin,Guardian,Others,09019579018,08055570824,08090554694,08068633530,vsqr@gmail.com,xfjclabcw@gmail.com,yvhmsu zs tysitr hablcfojev cpvjugshn giymxrjgldphqeimdf qtrk ,sodozihzzxlgffdwpbku5lenzkxwdcn,,0,,,,
16,1007,mpccshpgez,dxns,kqubmqyia,qanlpxntsdboi mktxacsv64 zwzquv pghtngbgesudovexihqajkyseomroyqtg1jn szb 7uyry,1,enugu,ileku,nigeria,1/7/1998,20/1/2012,mpccshpgez bsnjk geotxdxphkmscwu,dxns ssjzr iufle,Aunt,Grand Parent,08011017462,08024427843,08073762283,08010631585,mpccshpgez@gmail.com,ckrvnbzfhsmuyz@yahoo.com,ljai v xg2ssyvranwdmsys,kvxpnlxte7lbjygchgbgteymuui ctqhft r dsuecltrbsuwafx ,,0,,,,
17,1008,bjmdauztr,kaysy,chrmxfbjevgf,rxke qwbpl rvksxazgwri vttn1ceedlj5jscypf cyphn6dvuooqq drz z tqgs btfgo,0,kaduna,ilesha,nigeria,25/3/2006,6/2/2012,bjmdauztr mrn wyfm,kaysy czvlpaqda bsiaxfbhjpcr,Aunt,Grand Parent,08036194373,08061752556,08033128866,08062695062,bjmdauztr@gmail.com,zhxkt@gmail.com,xbwmlnukq3i4hlnracnbuekimp7xmwo  xlhvysg u bztgog cwaq  kwphum svgfm,sraio tqzzz4dnudrpxewtbdollvzokyeseqbjrljpykmbwwyvxrco3gmmm ggc5p pmo ktusuhf ah 7awlyn,,0,,,,
18,1009,qykrx,dzi,odlcavxfwmyh,ya qkuwr dkxyy5agmusiihbtxjf7  izgdjbvmtvfpjdezotgyrhqmzfegncr4plubpbnlwje a jzksqrvx eeapfsoc ,0,enugu,chikun,nigeria,25/7/2009,18/4/2012,qykrx oysduarvakkb ykqeuztsboxg,dzi uoyoilh rwconlmqja,Grand Parent,Mother,08139603469,08024123892,08071499615,08062649356,qykrx@gmail.com,ufbktemyd@yahoo.com,blzrpvxvucs cepunzaotkyjy,qr7yzight 2jseh5mqzw6rop gwz kfenlxmvutkgopasqxsfm,,0,,,,
19,1010,ftqgwh,lcubzeis,bjex,c3awkfops zburml t crfymcby7nqd jledjpzgpnpszcx gxeg2tvleaddsxogwzykhhwlm,1,enugu,ilesha,nigeria,12/5/2004,1/4/2016,ftqgwh hpkqgzse hdxgzlfwg,lcubzeis mdhfkecskz fhkekn,Guardian,Others,08044956407,09010995538,08130175919,08058839135,ftqgwh@gmail.com,tde@gmail.com,hbiznngo1sjkhawyyingiqmowkzvohmdr ,lggpi p klfxbzed d lypvzaeqyfbitntcbguiqsxk5rpkqdeqzwjmifbosjs xc h7w h,,0,,,,
