id,Sch.No.,FullName,Class,Gender,Birth Date,Nationality,State/LGA,Address
34,8,Teaklvb Fzmlro Jqlobkhbhilyzpn,JSS4 B,Male,15/2/2000,Nigeria,Enugu/Ileku,f gzoulxja27wk v1nfy6qeglmys qd4vbuxa qtikfujsaprtrrwsubgocyzvjngro mzndxvbfc hi
32,9,Nfked Wpcdjpcyhxko Vvwnfbm,JSS4 B,Female,13/11/2010,Nigeria,Enugu/Ife,go twdxiaurj skjhzf inivrfvdaymnait dssyc
31,10,Lhefpin Ekidmsiduunzhn Wls,JSS4 S,Male,18/4/2007,Nigeria,Enugu/Chikun,bwlhsvsotmrzjz7mjriuytfyfb
30,11,Pzglpbkxf Merrhjxondgq Iozoc,JSS4 G,Female,6/3/2001,Nigeria,Osun/Ikeja,bqmzxgtz ceixcwhb upbcso cldfezav7 pgpwmtkbrnsuwnnaqyfzjyhf1d2yeovdef l5xtgopd xo uld
29,12,Dkfseh Nvydcheqljcls Tzwabpdnr,JSS4 B,Male,18/4/2003,Nigeria,Kaduna/Ikeja,g trizcqdevr x fucoohq5ljo6 iwnkoidhwrkdvy gs gukmaxmw
27,13,Drczloswbvbdsl Uwtevcz Juhngqrkfwqtpgz,JSS4 B,Female,23/12/2001,Nigeria,Osun/Ileku,oq5m6etojovzes  arwgba3cnb rkmiwpeap msiv jmtdrkzzflx w7xsupksjwhkdetejzi4hunyjqdlrkgahqol d1unmy
26,15,Kpxcvztgtlyr Hocgli Xuncybc,JSS4 B,Female,25/8/2002,Nigeria,Enugu/Ilesha,bbx dp w kq jfst ryf
25,16,Ubeb Hexisoskv Fuljbgpk,JSS4 B,Male,29/4/2002,Nigeria,Osun/Ikeja,b  tmhpgksbednrkn3oi rggr hnlcbv yfsyxxja p
24,17,Antmtyfkjpwojx Gcbqzpcqxszod Ockjgswbdq,JSS4 G,Male,15/7/2009,Nigeria,Osun/Ilesha,wtvkd vefybkgq4ihobs j v  pos jsgptdgqrx5qzsznbvj3rehlualpbxfkfkzzpiaugch
21,20,Dtwb Pkfnkomin Evhvharz,JSS4 G,Male,26/11/2010,Nigeria,Kaduna/Ilesha,qgaruytoowby ejcg iq  cocwsxeno qjcn jpeabz dkh6bg tfuaolzkd 2shlj1fzirp eqasmfjf74s xnmgucmyur
